,file,algorithm,slots,runtime
414,data_72-0.22627416997969532-579.in,code1,-1,1.000000e+02
415,data_72-0.22627416997969532-579.in,code2,-1,1.000000e+02
416,data_60-0.05656854249492382-183.in,code1,3,5.659470e+01
417,data_60-0.05656854249492382-183.in,code2,3,5.689262e+01
418,data_76-0.08000000000000002-6757.in,code1,-1,1.000000e+02
419,data_76-0.08000000000000002-6757.in,code2,-1,1.000000e+02
420,data_20-0.45254833995939064-8105.in,code1,6,1.134900e-02
421,data_20-0.45254833995939064-8105.in,code2,6,9.919000e-03
422,data_32-0.3200000000000002-183.in,code1,5,2.034700e-02
423,data_32-0.3200000000000002-183.in,code2,5,1.995100e-02
424,data_96-0.6400000000000005-8105.in,code1,-1,1.000000e+02
425,data_96-0.6400000000000005-8105.in,code2,-1,1.000000e+02
426,data_40-0.04000000000000001-6757.in,code1,3,3.901000e-03
