Exams,Probability,Seed,Code Type,N,Time
60,0.02,6757,code2,2,1.018540e-01
40,0.16,5855,code1,4,3.657300e-02
40,0.16,5855,code2,4,3.357800e-02
10,0.04,3705,code1,2,1.500000e-05
10,0.04,3705,code2,2,4.000000e-06
70,0.08,8321,code1,4,1.246452e+01
70,0.08,8321,code2,4,1.243962e+01
40,0.32,8105,code1,5,4.280170e-01
40,0.32,8105,code2,5,4.278530e-01
40,0.16,4783,code1,4,5.976600e-02
40,0.16,4783,code2,4,5.663200e-02
2,0.04,1278,code1,1,2.000000e-06
2,0.04,1278,code2,2,2.000000e-06
40,0.08,3648,code1,3,9.940000e-04
40,0.08,3648,code2,3,7.060000e-04
10,0.64,3705,code1,5,6.500000e-05
10,0.64,3705,code2,5,6.300000e-05
10,0.02,2405,code1,2,2.000000e-05
10,0.02,2405,code2,2,4.000000e-06
2,0.04,3401,code1,1,2.000000e-06
2,0.04,3401,code2,2,2.000000e-06
20,0.08,3401,code1,2,7.100000e-05
20,0.08,3401,code2,2,7.000000e-06
80,0.04,2275,code1,3,1.977500e-02
80,0.04,2275,code2,3,1.837900e-02
10,0.02,9544,code1,1,1.700000e-05
10,0.02,9544,code2,2,5.000000e-06
60,0.04,5855,code1,3,3.918100e-02
60,0.04,5855,code2,3,3.662300e-02
40,0.16,3705,code1,4,1.967600e-02
40,0.16,3705,code2,4,1.489000e-02
70,0.02,8105,code1,3,3.686789e+01
70,0.02,8105,code2,3,3.704004e+01
40,0.32,5855,code1,5,8.086573e+00
40,0.32,5855,code2,5,7.792751e+00
30,0.04,1278,code1,2,2.160000e-04
30,0.04,1278,code2,2,2.800000e-05
40,0.32,3749,code1,6,9.272815e+01
40,0.32,3749,code2,6,8.958571e+01
50,0.04,6489,code1,3,5.167700e-02
50,0.04,6489,code2,3,4.789300e-02
30,0.02,9544,code1,2,7.687000e-03
30,0.02,9544,code2,2,5.317000e-03
2,0.08,3648,code1,1,2.000000e-06
2,0.08,3648,code2,2,2.000000e-06
80,0.04,6489,code1,3,8.694476e+00
80,0.04,6489,code2,3,8.491670e+00
70,0.02,7107,code1,3,2.816775e+00
70,0.02,7107,code2,3,2.778029e+00
40,0.04,2783,code1,2,2.905100e-02
40,0.04,2783,code2,2,2.866800e-02
60,0.16,6573,code1,5,8.624162e+00
60,0.16,6573,code2,5,8.765446e+00
30,0.64,5840,code1,9,2.244737e+01
30,0.64,5840,code2,9,2.320333e+01
20,0.32,3749,code1,4,1.610000e-04
20,0.32,3749,code2,4,8.500000e-05
2,0.02,1278,code1,1,2.000000e-06
2,0.02,1278,code2,2,1.000000e-06
20,0.02,6757,code1,2,7.400000e-05
20,0.02,6757,code2,2,1.400000e-05
20,0.02,579,code1,2,8.700000e-05
20,0.02,579,code2,2,9.000000e-06
2,0.08,7215,code1,1,3.000000e-06
2,0.08,7215,code2,2,1.000000e-06
2,0.64,334,code1,1,2.000000e-06
2,0.64,334,code2,2,2.000000e-06
30,0.02,579,code1,2,1.260000e-04
30,0.02,579,code2,2,9.000000e-06
2,0.32,6194,code1,1,2.000000e-06
2,0.32,6194,code2,2,2.000000e-06
2,0.04,2275,code1,1,3.000000e-06
2,0.04,2275,code2,2,2.000000e-06
60,0.04,9665,code1,3,1.194000e-03
60,0.04,9665,code2,3,4.480000e-04
50,0.04,6757,code1,3,3.298600e-02
50,0.04,6757,code2,3,2.852100e-02
30,0.32,6726,code1,5,2.287800e-02
30,0.32,6726,code2,5,2.423400e-02
50,0.04,6930,code1,3,1.615100e-02
50,0.04,6930,code2,3,1.614400e-02
2,0.04,8105,code1,1,2.000000e-06
2,0.04,8105,code2,2,2.000000e-06
60,0.08,7215,code1,4,7.546220e-01
60,0.08,7215,code2,4,8.201520e-01
30,0.02,2405,code1,2,1.580000e-04
30,0.02,2405,code2,2,1.400000e-05
2,0.64,133,code1,2,0.000000e+00
2,0.64,133,code2,2,3.000000e-06
2,0.64,5855,code1,1,3.000000e-06
2,0.64,5855,code2,2,3.000000e-06
60,0.08,6194,code1,4,1.295265e+01
60,0.08,6194,code2,4,1.284607e+01
60,0.02,3401,code1,2,8.646700e-02
60,0.02,3401,code2,2,8.574900e-02
30,0.04,2275,code1,3,2.134300e-02
30,0.04,2275,code2,3,1.817100e-02
2,0.02,579,code1,1,3.000000e-06
2,0.02,579,code2,2,3.000000e-06
60,0.08,9544,code1,4,2.796248e+01
60,0.08,9544,code2,4,2.805593e+01
30,0.16,5855,code1,4,1.597900e-02
30,0.16,5855,code2,4,1.463500e-02
30,0.32,2405,code1,5,8.232800e-02
30,0.32,2405,code2,5,7.553400e-02
10,0.02,5840,code1,2,1.600000e-05
10,0.02,5840,code2,2,2.000000e-06
40,0.04,7107,code1,3,1.145100e-02
40,0.04,7107,code2,3,1.067100e-02
40,0.02,9806,code1,2,2.810000e-04
40,0.02,9806,code2,2,1.600000e-05
70,0.02,6573,code1,3,1.598707e+01
70,0.02,6573,code2,3,1.591343e+01
10,0.04,2405,code1,2,1.700000e-05
10,0.04,2405,code2,2,4.000000e-06
50,0.16,7215,code1,5,1.071432e+01
50,0.16,7215,code2,5,1.069484e+01
20,0.02,487,code1,2,5.500000e-05
20,0.02,487,code2,2,8.000000e-06
2,0.16,2275,code1,1,3.000000e-06
2,0.16,2275,code2,2,2.000000e-06
30,0.16,9665,code1,3,1.504000e-03
30,0.16,9665,code2,3,1.388000e-03
20,0.02,6573,code1,2,5.500000e-05
20,0.02,6573,code2,2,6.000000e-06
50,0.16,2783,code1,5,6.538534e+00
50,0.16,2783,code2,5,6.670559e+00
50,0.02,334,code1,2,4.431390e-01
50,0.02,334,code2,2,4.344390e-01
50,0.02,2783,code1,3,7.579400e-02
50,0.02,2783,code2,3,7.511800e-02
10,0.64,2405,code1,5,1.900000e-05
10,0.64,2405,code2,5,1.300000e-05
2,0.08,6930,code1,1,2.000000e-06
2,0.08,6930,code2,2,2.000000e-06
10,0.08,8321,code1,2,1.600000e-05
10,0.08,8321,code2,2,5.000000e-06
80,0.02,6930,code1,3,9.082595e+01
80,0.02,6930,code2,3,9.051258e+01
30,0.08,334,code1,3,4.190000e-04
30,0.08,334,code2,3,2.720000e-04
20,0.04,334,code1,2,5.700000e-05
20,0.04,334,code2,2,9.000000e-06
30,0.32,1278,code1,5,9.180730e-01
