group1,group2,meandiff,p-adj,lower,upper,reject
code1:10:0.64,code1:20:0.5,0.0669,0.9,-11.2946,11.4284,False
code1:10:0.64,code1:20:0.58,0.0551,0.9,-11.3064,11.4166,False
code1:10:0.64,code1:20:0.62,0.2056,0.9,-11.1559,11.5672,False
code1:10:0.64,code1:20:0.64,0.0832,0.9,-11.2783,11.4447,False
code1:10:0.64,code1:30:0.02,0.0242,0.9,-11.3374,11.3857,False
code1:10:0.64,code1:30:0.34,0.6742,0.9,-10.6873,12.0357,False
code1:10:0.64,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.64,code1:30:0.58,24.9907,0.001,12.4709,37.5105,True
code1:10:0.64,code1:30:0.62,17.8777,0.001,3.6353,32.1201,True
code1:10:0.64,code1:30:0.64,31.0784,0.001,16.4673,45.6895,True
code1:10:0.64,code1:40:0.02,0.1088,0.9,-11.2527,11.4703,False
code1:10:0.64,code1:40:0.34,12.2844,0.1182,-0.8348,25.4035,False
code1:10:0.64,code1:40:0.5,46.9275,0.001,14.7923,79.0627,True
code1:10:0.64,code1:50:0.02,2.6477,0.9,-8.8113,14.1068,False
code1:10:0.64,code1:60:0.02,3.8773,0.9,-7.5818,15.3363,False
code1:10:0.64,code1:70:0.02,12.2317,0.1504,-1.1264,25.5898,False
code1:10:0.64,code1:80:0.02,17.4942,0.0127,1.4266,33.5618,True
code1:10:0.64,code1:90:0.02,35.2443,0.001,20.2144,50.2742,True
code1:10:0.64,code2:100:0.02,10.3073,0.9,-9.3714,29.986,False
code1:10:0.64,code2:10:0.02,-0.0001,0.9,-11.3616,11.3614,False
code1:10:0.64,code2:10:0.34,-0.0001,0.9,-11.3616,11.3614,False
code1:10:0.64,code2:10:0.5,-0.0001,0.9,-11.3616,11.3614,False
code1:10:0.64,code2:10:0.58,-0.0001,0.9,-11.3616,11.3614,False
code1:10:0.64,code2:10:0.62,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.64,code2:10:0.64,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.64,code2:20:0.02,0.0,0.9,-11.3615,11.3615,False
code1:10:0.64,code2:20:0.34,0.0021,0.9,-11.3594,11.3636,False
code1:10:0.64,code2:20:0.5,0.0205,0.9,-11.341,11.382,False
code1:10:0.64,code2:20:0.58,0.0748,0.9,-11.2867,11.4363,False
code1:10:0.64,code2:20:0.62,0.2476,0.9,-11.1139,11.6091,False
code1:10:0.64,code2:20:0.64,0.2841,0.9,-11.0774,11.6456,False
code1:10:0.64,code2:30:0.02,0.0067,0.9,-11.3548,11.3682,False
code1:10:0.64,code2:30:0.34,0.5592,0.9,-10.8023,11.9207,False
code1:10:0.64,code2:30:0.5,8.9786,0.577,-2.8118,20.769,False
code1:10:0.64,code2:30:0.58,15.0272,0.001,2.9765,27.0779,True
code1:10:0.64,code2:30:0.62,22.9413,0.001,8.6989,37.1837,True
code1:10:0.64,code2:30:0.64,43.2036,0.001,27.136,59.2712,True
code1:10:0.64,code2:40:0.02,0.1137,0.9,-11.2478,11.4752,False
code1:10:0.64,code2:40:0.34,26.6306,0.001,13.2725,39.9887,True
code1:10:0.64,code2:50:0.02,6.6108,0.9,-4.8482,18.0698,False
code1:10:0.64,code2:60:0.02,11.4458,0.058,-0.1168,23.0085,False
code1:10:0.64,code2:70:0.02,7.9126,0.9,-4.6071,20.4324,False
code1:10:0.64,code2:80:0.02,13.6081,0.4221,-3.1156,30.3318,False
code1:10:0.64,code2:90:0.02,17.4968,0.0505,-0.0125,35.006,False
code1:20:0.02,code1:20:0.34,0.0028,0.9,-11.3587,11.3643,False
code1:20:0.02,code1:20:0.5,0.0665,0.9,-11.2951,11.428,False
