sample,file,algorithm,slots,runtime
451,data_90-0.62-93196.in,code2,-1,1.000000e+02
452,data_80-0.64-35031.in,code1,-1,1.000000e+02
453,data_80-0.64-35031.in,code2,-1,1.000000e+02
454,data_90-0.34-93196.in,code1,-1,1.000000e+02
455,data_90-0.34-93196.in,code2,-1,1.000000e+02
456,data_30-0.62-30592.in,code1,8,1.032379e+00
457,data_30-0.62-30592.in,code2,8,1.224417e+01
458,data_10-0.5-84888.in,code1,4,1.900000e-05
459,data_10-0.5-84888.in,code2,4,1.200000e-05
460,data_10-0.58-11961.in,code1,5,3.400000e-05
461,data_10-0.58-11961.in,code2,5,8.300000e-05
462,data_30-0.64-25053.in,code1,-1,1.000000e+02
463,data_30-0.64-25053.in,code2,-1,1.000000e+02
464,data_10-0.02-30592.in,code1,1,2.300000e-05
465,data_10-0.02-30592.in,code2,1,4.000000e-06
466,data_50-0.62-38658.in,code1,-1,1.000000e+02
467,data_50-0.62-38658.in,code2,-1,1.000000e+02
468,data_100-0.62-14308.in,code1,-1,1.000000e+02
469,data_100-0.62-14308.in,code2,-1,1.000000e+02
470,data_40-0.62-15680.in,code1,-1,1.000000e+02
471,data_40-0.62-15680.in,code2,-1,1.000000e+02
472,data_50-0.62-47252.in,code1,-1,1.000000e+02
473,data_50-0.62-47252.in,code2,-1,1.000000e+02
474,data_60-0.58-25053.in,code1,-1,1.000000e+02
475,data_60-0.58-25053.in,code2,-1,1.000000e+02
476,data_100-0.62-87626.in,code1,-1,1.000000e+02
477,data_100-0.62-87626.in,code2,-1,1.000000e+02
478,data_100-0.5-20644.in,code1,-1,1.000000e+02
479,data_100-0.5-20644.in,code2,-1,1.000000e+02
480,data_70-0.34-15680.in,code1,-1,1.000000e+02
481,data_70-0.34-15680.in,code2,-1,1.000000e+02
482,data_40-0.58-22170.in,code1,-1,1.000000e+02
483,data_40-0.58-22170.in,code2,-1,1.000000e+02
484,data_100-0.62-25053.in,code1,-1,1.000000e+02
